,Year,LGA,Numerator,Denominator,Indicator,area,latitude,longitude
209,2015,Kingston (C),32,1612,0.019851116625310174,"Kingston, Victoria, Australia",-37.374292,143.9558066
210,2010,Knox (C),34,1554,0.021879021879021878,"Knox, Victoria, Australia",-37.87719055,145.221665649919
211,2011,Knox (C),32,1596,0.020050125313283207,"Knox, Victoria, Australia",-37.87719055,145.221665649919
212,2012,Knox (C),29,1587,0.018273471959672338,"Knox, Victoria, Australia",-37.87719055,145.221665649919
213,2013,Knox (C),33,1563,0.02111324376199616,"Knox, Victoria, Australia",-37.87719055,145.221665649919
214,2014,Knox (C),33,1541,0.021414665801427646,"Knox, Victoria, Australia",-37.87719055,145.221665649919
215,2015,Knox (C),35,1572,0.022264631043257,"Knox, Victoria, Australia",-37.87719055,145.221665649919
216,2010,Latrobe (C),17,890,0.019101123595505618,"Latrobe, Victoria, Australia",-39.0329682,146.3230369
217,2011,Latrobe (C),16,878,0.018223234624145785,"Latrobe, Victoria, Australia",-39.0329682,146.3230369
218,2012,Latrobe (C),13,917,0.014176663031624863,"Latrobe, Victoria, Australia",-39.0329682,146.3230369
219,2013,Latrobe (C),13,893,0.014557670772676373,"Latrobe, Victoria, Australia",-39.0329682,146.3230369
220,2014,Latrobe (C),12,834,0.014388489208633094,"Latrobe, Victoria, Australia",-39.0329682,146.3230369
221,2015,Latrobe (C),8,862,0.009280742459396751,"Latrobe, Victoria, Australia",-39.0329682,146.3230369
228,2010,Macedon Ranges (S),14,598,0.023411371237458192,"Macedon Ranges, Victoria, Australia",-37.2895759,144.458757020328
229,2011,Macedon Ranges (S),21,617,0.03403565640194489,"Macedon Ranges, Victoria, Australia",-37.2895759,144.458757020328
230,2012,Macedon Ranges (S),16,646,0.02476780185758514,"Macedon Ranges, Victoria, Australia",-37.2895759,144.458757020328
231,2013,Macedon Ranges (S),13,616,0.021103896103896104,"Macedon Ranges, Victoria, Australia",-37.2895759,144.458757020328
232,2014,Macedon Ranges (S),11,571,0.01926444833625219,"Macedon Ranges, Victoria, Australia",-37.2895759,144.458757020328
233,2015,Macedon Ranges (S),21,668,0.03143712574850299,"Macedon Ranges, Victoria, Australia",-37.2895759,144.458757020328
234,2010,Manningham (C),38,1148,0.033101045296167246,"Manningham, Victoria, Australia",-34.8771946,138.6219464
235,2011,Manningham (C),48,1142,0.04203152364273205,"Manningham, Victoria, Australia",-34.8771946,138.6219464
236,2012,Manningham (C),45,1123,0.04007123775601069,"Manningham, Victoria, Australia",-34.8771946,138.6219464
237,2013,Manningham (C),55,1203,0.0457190357439734,"Manningham, Victoria, Australia",-34.8771946,138.6219464
238,2014,Manningham (C),44,1149,0.038294168842471714,"Manningham, Victoria, Australia",-34.8771946,138.6219464
239,2015,Manningham (C),38,1105,0.034389140271493215,"Manningham, Victoria, Australia",-34.8771946,138.6219464
246,2010,Maribyrnong (C),11,678,0.016224188790560472,"Maribyrnong, Victoria, Australia",-37.7695144,144.8902049
247,2011,Maribyrnong (C),12,704,0.017045454545454544,"Maribyrnong, Victoria, Australia",-37.7695144,144.8902049
248,2012,Maribyrnong (C),15,678,0.022123893805309734,"Maribyrnong, Victoria, Australia",-37.7695144,144.8902049
249,2013,Maribyrnong (C),18,777,0.023166023166023165,"Maribyrnong, Victoria, Australia",-37.7695144,144.8902049
250,2014,Maribyrnong (C),14,848,0.01650943396226415,"Maribyrnong, Victoria, Australia",-37.7695144,144.8902049
251,2015,Maribyrnong (C),20,890,0.02247191011235955,"Maribyrnong, Victoria, Australia",-37.7695144,144.8902049
252,2010,Maroondah (C),26,1143,0.022747156605424323,"Maroondah, Victoria, Australia",-37.80380345,145.261326722426
253,2011,Maroondah (C),25,1123,0.02226179875333927,"Maroondah, Victoria, Australia",-37.80380345,145.261326722426
254,2012,Maroondah (C),31,1163,0.026655202063628546,"Maroondah, Victoria, Australia",-37.80380345,145.261326722426
255,2013,Maroondah (C),31,1197,0.025898078529657476,"Maroondah, Victoria, Australia",-37.80380345,145.261326722426
256,2014,Maroondah (C),22,1161,0.018949181739879414,"Maroondah, Victoria, Australia",-37.80380345,145.261326722426
257,2015,Maroondah (C),26,1244,0.02090032154340836,"Maroondah, Victoria, Australia",-37.80380345,145.261326722426
258,2010,Melbourne (C),6,299,0.020066889632107024,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
259,2011,Melbourne (C),13,334,0.038922155688622756,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
260,2012,Melbourne (C),8,305,0.02622950819672131,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
261,2013,Melbourne (C),16,371,0.0431266846361186,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
262,2014,Melbourne (C),10,407,0.02457002457002457,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
263,2015,Melbourne (C),7,342,0.02046783625730994,"Melbourne, Victoria, Australia",-37.8142176,144.9631608
264,2010,Melton (C),32,1200,0.02666666666666667,"Melton, Victoria, Australia",-37.7068658,144.545425519967
265,2011,Melton (C),30,1449,0.020703933747412008,"Melton, Victoria, Australia",-37.7068658,144.545425519967
266,2012,Melton (C),41,1446,0.028354080221300138,"Melton, Victoria, Australia",-37.7068658,144.545425519967
267,2013,Melton (C),35,1720,0.020348837209302327,"Melton, Victoria, Australia",-37.7068658,144.545425519967
268,2014,Melton (C),35,1766,0.019818799546998868,"Melton, Victoria, Australia",-37.7068658,144.545425519967
269,2015,Melton (C),36,1668,0.02158273381294964,"Melton, Victoria, Australia",-37.7068658,144.545425519967
270,2010,Mildura (RC),14,599,0.02337228714524207,"Mildura, Victoria, Australia",-34.1847265,142.1624972
