,Year,LGA,Numerator,Denominator,Indicator,area,latitude,longitude
505,2011,Whittlesea (C),56,2005,0.027930174563591023,"Whittlesea, Victoria, Australia",-37.5121301,145.1177321
506,2012,Whittlesea (C),48,2131,0.02252463632097607,"Whittlesea, Victoria, Australia",-37.5121301,145.1177321
507,2013,Whittlesea (C),52,2233,0.02328705776981639,"Whittlesea, Victoria, Australia",-37.5121301,145.1177321
508,2014,Whittlesea (C),55,2203,0.024965955515206535,"Whittlesea, Victoria, Australia",-37.5121301,145.1177321
509,2015,Whittlesea (C),41,2350,0.017446808510638297,"Whittlesea, Victoria, Australia",-37.5121301,145.1177321
510,2010,Wodonga (C),10,483,0.020703933747412008,"Wodonga, Victoria, Australia",-36.115235,146.905151924332
511,2011,Wodonga (C),9,436,0.020642201834862386,"Wodonga, Victoria, Australia",-36.115235,146.905151924332
512,2012,Wodonga (C),14,479,0.029227557411273485,"Wodonga, Victoria, Australia",-36.115235,146.905151924332
513,2013,Wodonga (C),7,456,0.015350877192982455,"Wodonga, Victoria, Australia",-36.115235,146.905151924332
514,2014,Wodonga (C),7,478,0.014644351464435146,"Wodonga, Victoria, Australia",-36.115235,146.905151924332
515,2015,Wodonga (C),6,477,0.012578616352201259,"Wodonga, Victoria, Australia",-36.115235,146.905151924332
516,2010,Wyndham (C),36,1908,0.018867924528301886,"Wyndham, Victoria, Australia",-15.4867977,128.1236196
517,2011,Wyndham (C),36,2170,0.016589861751152075,"Wyndham, Victoria, Australia",-15.4867977,128.1236196
518,2012,Wyndham (C),43,2272,0.018926056338028168,"Wyndham, Victoria, Australia",-15.4867977,128.1236196
519,2013,Wyndham (C),41,2662,0.015401953418482344,"Wyndham, Victoria, Australia",-15.4867977,128.1236196
520,2014,Wyndham (C),59,3020,0.0195364238410596,"Wyndham, Victoria, Australia",-15.4867977,128.1236196
521,2015,Wyndham (C),35,2980,0.01174496644295302,"Wyndham, Victoria, Australia",-15.4867977,128.1236196
522,2010,Yarra (C),14,528,0.026515151515151516,"Yarra, Victoria, Australia",-37.93655035,145.072665157869
523,2011,Yarra (C),13,506,0.025691699604743084,"Yarra, Victoria, Australia",-37.93655035,145.072665157869
524,2012,Yarra (C),20,528,0.03787878787878788,"Yarra, Victoria, Australia",-37.93655035,145.072665157869
525,2013,Yarra (C),14,545,0.025688073394495414,"Yarra, Victoria, Australia",-37.93655035,145.072665157869
526,2014,Yarra (C),17,537,0.03165735567970205,"Yarra, Victoria, Australia",-37.93655035,145.072665157869
527,2015,Yarra (C),14,537,0.0260707635009311,"Yarra, Victoria, Australia",-37.93655035,145.072665157869
528,2010,Yarra Ranges (S),46,1744,0.026376146788990827,"Yarra Ranges, Victoria, Australia",-37.7295526,145.4981195
529,2011,Yarra Ranges (S),34,1747,0.019461934745277618,"Yarra Ranges, Victoria, Australia",-37.7295526,145.4981195
530,2012,Yarra Ranges (S),29,1853,0.015650296815974095,"Yarra Ranges, Victoria, Australia",-37.7295526,145.4981195
531,2013,Yarra Ranges (S),32,1807,0.01770890979524073,"Yarra Ranges, Victoria, Australia",-37.7295526,145.4981195
532,2014,Yarra Ranges (S),43,1679,0.02561048243001787,"Yarra Ranges, Victoria, Australia",-37.7295526,145.4981195
533,2015,Yarra Ranges (S),21,1734,0.012110726643598616,"Yarra Ranges, Victoria, Australia",-37.7295526,145.4981195
