Year,LGA,Numerator,Denominator,Indicator
2010,Glenelg (S),NDP,NDP,NDP
2011,Glenelg (S),NDP,NDP,NDP
2012,Glenelg (S),NDP,NDP,NDP
2013,Glenelg (S),NDP,NDP,NDP
2014,Glenelg (S),6,177,0.03389830508474576
2015,Glenelg (S),NDP,NDP,NDP
2010,Golden Plains (S),6,256,0.0234375
2011,Golden Plains (S),6,260,0.023076923076923078
2012,Golden Plains (S),NDP,NDP,NDP
2013,Golden Plains (S),5,258,0.01937984496124031
2014,Golden Plains (S),7,288,0.024305555555555556
2015,Golden Plains (S),5,300,0.016666666666666666
2010,Greater Bendigo (C),24,1152,0.020833333333333332
2011,Greater Bendigo (C),26,1179,0.02205258693808312
2012,Greater Bendigo (C),32,1308,0.024464831804281346
2013,Greater Bendigo (C),29,1303,0.022256331542594012
2014,Greater Bendigo (C),23,1362,0.016886930983847283
2015,Greater Bendigo (C),23,1304,0.01763803680981595
2010,Greater Dandenong (C),20,1360,0.014705882352941176
2011,Greater Dandenong (C),14,1462,0.009575923392612859
2012,Greater Dandenong (C),22,1477,0.014895057549085985
2013,Greater Dandenong (C),26,1706,0.015240328253223915
2014,Greater Dandenong (C),26,1620,0.016049382716049384
2015,Greater Dandenong (C),29,1621,0.017890191239975324
2010,Greater Geelong (C),51,2362,0.021591871295512276
2011,Greater Geelong (C),51,2404,0.021214642262895173
2012,Greater Geelong (C),36,2018,0.017839444995044598
2013,Greater Geelong (C),49,2493,0.01965503409546731
2014,Greater Geelong (C),52,2358,0.02205258693808312
2015,Greater Geelong (C),46,2428,0.018945634266886325
2010,Greater Shepparton (C),15,800,0.01875
2011,Greater Shepparton (C),11,795,0.013836477987421384
2012,Greater Shepparton (C),19,924,0.020562770562770564
2013,Greater Shepparton (C),14,846,0.016548463356973995
2014,Greater Shepparton (C),15,917,0.016357688113413305
2015,Greater Shepparton (C),14,891,0.015712682379349047
2010,Hepburn (S),NDP,NDP,NDP
2011,Hepburn (S),NDP,NDP,NDP
2012,Hepburn (S),NDP,NDP,NDP
2013,Hepburn (S),NDP,NDP,NDP
2014,Hepburn (S),NDP,NDP,NDP
2015,Hepburn (S),NDP,NDP,NDP
2010,Hindmarsh (S),NDP,NDP,NDP
2011,Hindmarsh (S),NDP,NDP,NDP
2012,Hindmarsh (S),NDP,NDP,NDP
2013,Hindmarsh (S),5,55,0.09090909090909091
2014,Hindmarsh (S),NDP,NDP,NDP
2015,Hindmarsh (S),NDP,NDP,NDP
2010,Hobsons Bay (C),20,786,0.02544529262086514
2011,Hobsons Bay (C),22,892,0.02466367713004484
2012,Hobsons Bay (C),13,742,0.01752021563342318
2013,Hobsons Bay (C),16,975,0.01641025641025641
2014,Hobsons Bay (C),28,1100,0.025454545454545455
2015,Hobsons Bay (C),18,914,0.019693654266958426
2010,Horsham (RC),NDP,NDP,NDP
2011,Horsham (RC),NDP,NDP,NDP
2012,Horsham (RC),5,245,0.02040816326530612
2013,Horsham (RC),5,257,0.019455252918287938
2014,Horsham (RC),5,254,0.01968503937007874
2015,Horsham (RC),NDP,NDP,NDP
2010,Hume (C),38,2138,0.01777362020579981
2011,Hume (C),53,2259,0.023461708720672863
2012,Hume (C),38,2207,0.017217942908926143
2013,Hume (C),45,2273,0.019797624285085788
2014,Hume (C),35,2367,0.014786649767638362
2015,Hume (C),29,2400,0.012083333333333333
2010,Indigo (S),NDP,NDP,NDP
2011,Indigo (S),NDP,NDP,NDP
2012,Indigo (S),NDP,NDP,NDP
2013,Indigo (S),NDP,NDP,NDP
2014,Indigo (S),6,188,0.031914893617021274
2015,Indigo (S),NDP,NDP,NDP
2010,Kingston (C),38,1512,0.02513227513227513
2011,Kingston (C),37,1536,0.024088541666666668
2012,Kingston (C),41,1586,0.025851197982345524
2013,Kingston (C),33,1670,0.01976047904191617
2014,Kingston (C),39,1604,0.024314214463840397
2015,Kingston (C),32,1612,0.019851116625310174
2010,Knox (C),34,1554,0.021879021879021878
2011,Knox (C),32,1596,0.020050125313283207
2012,Knox (C),29,1587,0.018273471959672338
2013,Knox (C),33,1563,0.02111324376199616
2014,Knox (C),33,1541,0.021414665801427646
2015,Knox (C),35,1572,0.022264631043257
2010,Latrobe (C),17,890,0.019101123595505618
2011,Latrobe (C),16,878,0.018223234624145785
2012,Latrobe (C),13,917,0.014176663031624863
2013,Latrobe (C),13,893,0.014557670772676373
2014,Latrobe (C),12,834,0.014388489208633094
2015,Latrobe (C),8,862,0.009280742459396751
2010,Loddon (S),NDP,NDP,NDP
2011,Loddon (S),NDP,NDP,NDP
2012,Loddon (S),NDP,NDP,NDP
2013,Loddon (S),NDP,NDP,NDP
2014,Loddon (S),NDP,NDP,NDP
2015,Loddon (S),NDP,NDP,NDP
2010,Macedon Ranges (S),14,598,0.023411371237458192
2011,Macedon Ranges (S),21,617,0.03403565640194489
2012,Macedon Ranges (S),16,646,0.02476780185758514
2013,Macedon Ranges (S),13,616,0.021103896103896104
2014,Macedon Ranges (S),11,571,0.01926444833625219
2015,Macedon Ranges (S),21,668,0.03143712574850299
2010,Manningham (C),38,1148,0.033101045296167246
2011,Manningham (C),48,1142,0.04203152364273205
2012,Manningham (C),45,1123,0.04007123775601069
2013,Manningham (C),55,1203,0.0457190357439734
