,Year,LGA,Numerator,Denominator,Indicator
6,2010,Ararat (RC),6,123,0.04878048780487805
12,2010,Ballarat (C),21,1134,0.018518518518518517
13,2011,Ballarat (C),26,1113,0.02336028751123091
14,2012,Ballarat (C),27,1243,0.02172164119066774
15,2013,Ballarat (C),20,1200,0.016666666666666666
16,2014,Ballarat (C),19,1209,0.015715467328370553
17,2015,Ballarat (C),23,1211,0.018992568125516102
18,2010,Banyule (C),42,1205,0.034854771784232366
19,2011,Banyule (C),37,988,0.03744939271255061
20,2012,Banyule (C),47,1277,0.03680501174628034
21,2013,Banyule (C),34,1264,0.02689873417721519
22,2014,Banyule (C),39,1249,0.03122497998398719
23,2015,Banyule (C),43,1114,0.03859964093357271
24,2010,Bass Coast (S),7,316,0.022151898734177215
25,2011,Bass Coast (S),6,336,0.017857142857142856
26,2012,Bass Coast (S),9,371,0.02425876010781671
30,2010,Baw Baw (S),7,483,0.014492753623188406
31,2011,Baw Baw (S),7,500,0.014
32,2012,Baw Baw (S),9,525,0.017142857142857144
33,2013,Baw Baw (S),12,600,0.02
34,2014,Baw Baw (S),5,518,0.009652509652509652
36,2010,Bayside (C),26,993,0.026183282980866064
37,2011,Bayside (C),29,1057,0.027436140018921477
38,2012,Bayside (C),39,1086,0.03591160220994475
39,2013,Bayside (C),28,1094,0.025594149908592323
40,2014,Bayside (C),30,1122,0.026737967914438502
41,2015,Bayside (C),27,1124,0.02402135231316726
48,2010,Boroondara (C),67,1574,0.042566709021601014
49,2011,Boroondara (C),70,1547,0.04524886877828054
50,2012,Boroondara (C),74,1586,0.04665825977301387
51,2013,Boroondara (C),58,1624,0.03571428571428571
52,2014,Boroondara (C),64,1484,0.0431266846361186
53,2015,Boroondara (C),60,1531,0.039190071848465055
54,2010,Brimbank (C),60,1974,0.030395136778115502
55,2011,Brimbank (C),39,2030,0.01921182266009852
56,2012,Brimbank (C),47,2034,0.023107177974434612
57,2013,Brimbank (C),49,2261,0.021671826625386997
58,2014,Brimbank (C),51,2312,0.022058823529411766
59,2015,Brimbank (C),45,2163,0.020804438280166437
66,2010,Campaspe (S),7,442,0.01583710407239819
67,2011,Campaspe (S),15,459,0.032679738562091505
68,2012,Campaspe (S),6,433,0.013856812933025405
69,2013,Campaspe (S),7,440,0.015909090909090907
71,2015,Campaspe (S),7,470,0.014893617021276596
72,2010,Cardinia (S),15,913,0.01642935377875137
73,2011,Cardinia (S),14,1045,0.013397129186602871
74,2012,Cardinia (S),17,1187,0.014321819713563605
75,2013,Cardinia (S),14,1220,0.011475409836065573
76,2014,Cardinia (S),27,1257,0.021479713603818614
77,2015,Cardinia (S),15,1305,0.011494252873563218
78,2010,Casey (C),64,3081,0.020772476468679
79,2011,Casey (C),71,3579,0.019837943559653536
80,2012,Casey (C),59,3857,0.015296862846772103
81,2013,Casey (C),64,4007,0.0159720489143998
82,2014,Casey (C),58,3703,0.015662975965433434
83,2015,Casey (C),59,3993,0.014775857751064363
90,2010,Colac-Otway (S),5,252,0.01984126984126984
92,2012,Colac-Otway (S),5,277,0.018050541516245487
93,2013,Colac-Otway (S),5,232,0.021551724137931036
94,2014,Colac-Otway (S),8,243,0.03292181069958848
97,2011,Corangamite (S),6,219,0.0273972602739726
102,2010,Darebin (C),52,1389,0.037437005039596835
103,2011,Darebin (C),50,1321,0.03785011355034065
104,2012,Darebin (C),54,1392,0.03879310344827586
105,2013,Darebin (C),45,1392,0.032327586206896554
106,2014,Darebin (C),34,1319,0.02577710386656558
107,2015,Darebin (C),35,1326,0.026395173453996983
108,2010,East Gippsland (S),9,447,0.020134228187919462
110,2012,East Gippsland (S),8,505,0.015841584158415842
113,2015,East Gippsland (S),5,488,0.010245901639344262
114,2010,Frankston (C),26,1377,0.01888162672476398
115,2011,Frankston (C),12,1357,0.008843036109064112
116,2012,Frankston (C),22,1513,0.014540647719762063
117,2013,Frankston (C),22,1603,0.01372426699937617
118,2014,Frankston (C),20,1534,0.01303780964797914
119,2015,Frankston (C),13,1537,0.008458035133376708
126,2010,Glen Eira (C),34,1174,0.028960817717206135
127,2011,Glen Eira (C),41,1294,0.03168469860896445
128,2012,Glen Eira (C),38,1310,0.02900763358778626
129,2013,Glen Eira (C),26,1404,0.018518518518518517
130,2014,Glen Eira (C),40,1520,0.02631578947368421
131,2015,Glen Eira (C),35,1471,0.02379333786539769
136,2014,Glenelg (S),6,177,0.03389830508474576
138,2010,Golden Plains (S),6,256,0.0234375
139,2011,Golden Plains (S),6,260,0.023076923076923078
141,2013,Golden Plains (S),5,258,0.01937984496124031
142,2014,Golden Plains (S),7,288,0.024305555555555556
143,2015,Golden Plains (S),5,300,0.016666666666666666
144,2010,Greater Bendigo (C),24,1152,0.020833333333333332
145,2011,Greater Bendigo (C),26,1179,0.02205258693808312
146,2012,Greater Bendigo (C),32,1308,0.024464831804281346
147,2013,Greater Bendigo (C),29,1303,0.022256331542594012
148,2014,Greater Bendigo (C),23,1362,0.016886930983847283
149,2015,Greater Bendigo (C),23,1304,0.01763803680981595
150,2010,Greater Dandenong (C),20,1360,0.014705882352941176
151,2011,Greater Dandenong (C),14,1462,0.009575923392612859
152,2012,Greater Dandenong (C),22,1477,0.014895057549085985
153,2013,Greater Dandenong (C),26,1706,0.015240328253223915
154,2014,Greater Dandenong (C),26,1620,0.016049382716049384
155,2015,Greater Dandenong (C),29,1621,0.017890191239975324
156,2010,Greater Geelong (C),51,2362,0.021591871295512276
157,2011,Greater Geelong (C),51,2404,0.021214642262895173
158,2012,Greater Geelong (C),36,2018,0.017839444995044598
159,2013,Greater Geelong (C),49,2493,0.01965503409546731
160,2014,Greater Geelong (C),52,2358,0.02205258693808312
161,2015,Greater Geelong (C),46,2428,0.018945634266886325
162,2010,Greater Shepparton (C),15,800,0.01875
163,2011,Greater Shepparton (C),11,795,0.013836477987421384
164,2012,Greater Shepparton (C),19,924,0.020562770562770564
165,2013,Greater Shepparton (C),14,846,0.016548463356973995
166,2014,Greater Shepparton (C),15,917,0.016357688113413305
167,2015,Greater Shepparton (C),14,891,0.015712682379349047
177,2013,Hindmarsh (S),5,55,0.09090909090909091
180,2010,Hobsons Bay (C),20,786,0.02544529262086514
181,2011,Hobsons Bay (C),22,892,0.02466367713004484
182,2012,Hobsons Bay (C),13,742,0.01752021563342318
183,2013,Hobsons Bay (C),16,975,0.01641025641025641
184,2014,Hobsons Bay (C),28,1100,0.025454545454545455
185,2015,Hobsons Bay (C),18,914,0.019693654266958426
188,2012,Horsham (RC),5,245,0.02040816326530612
189,2013,Horsham (RC),5,257,0.019455252918287938
190,2014,Horsham (RC),5,254,0.01968503937007874
192,2010,Hume (C),38,2138,0.01777362020579981
193,2011,Hume (C),53,2259,0.023461708720672863
194,2012,Hume (C),38,2207,0.017217942908926143
195,2013,Hume (C),45,2273,0.019797624285085788
196,2014,Hume (C),35,2367,0.014786649767638362
197,2015,Hume (C),29,2400,0.012083333333333333
202,2014,Indigo (S),6,188,0.031914893617021274
204,2010,Kingston (C),38,1512,0.02513227513227513
205,2011,Kingston (C),37,1536,0.024088541666666668
206,2012,Kingston (C),41,1586,0.025851197982345524
207,2013,Kingston (C),33,1670,0.01976047904191617
208,2014,Kingston (C),39,1604,0.024314214463840397
209,2015,Kingston (C),32,1612,0.019851116625310174
210,2010,Knox (C),34,1554,0.021879021879021878
211,2011,Knox (C),32,1596,0.020050125313283207
212,2012,Knox (C),29,1587,0.018273471959672338
213,2013,Knox (C),33,1563,0.02111324376199616
214,2014,Knox (C),33,1541,0.021414665801427646
215,2015,Knox (C),35,1572,0.022264631043257
